search_term,status,status_no_spaces,n_youtube_videos,n_youtube_channels,n_youtube_videos_no_spaces,n_youtube_channels_no_spaces,background_info_link
white civil rights,Full,,22368929.0,86.0,,,https://www.npr.org/2018/06/21/622144455/white-civil-rights-rally-approved-for-d-c-in-august
white ethnostate,Full,,4032.0,2.0,,,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist
white lives matter,Full,,33238185.0,3885.0,,,https://www.splcenter.org/fighting-hate/extremist-files/group/white-lives-matter
white nationalism,Full,,755910.0,41.0,,,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist
white power,Full,,169420977.0,377159.0,,,https://www.adl.org/education/references/hate-symbols/white-power-hand-sign
white separatism,Full,,29378.0,0.0,,,https://www.adl.org/resources/glossary-terms/white-separatism
white sharia,Full,,383290.0,14.0,,,https://www.splcenter.org/hatewatch/2017/11/27/white-sharia-and-militant-white-nationalism
you will not replace us,Full,,17239492.0,480.0,,,https://www.splcenter.org/hatewatch/2017/10/10/when-white-nationalists-chant-their-weird-slogans-what-do-they-mean
zionist occupation government,Full,,63399.0,0.0,,,https://www.adl.org/education/references/hate-symbols/zog
dual seedline,Blocked,Full,,,31.0,0.0,https://www.adl.org/resources/backgrounders/christian-identity
globalist jews,Blocked,Full,,,6.0,0.0,https://www.haaretz.com/us-news/.premium-how-did-the-term-globalist-became-an-anti-semitic-slur-blame-bannon-1.5895925
heil hitler,Blocked,Full,,,32571.0,3.0,https://www.adl.org/education/references/hate-symbols/hitler-salute-hand-sign
jewish question,Blocked,Full,,,10375.0,2.0,https://encyclopedia.ushmm.org/content/en/article/the-jewish-question
radical islamic terror,Blocked,Full,,,1746.0,0.0,http://csps.gmu.edu/2020/12/01/why-does-the-west-remain-so-obsessed-with-radical-islam/
sieg heil,Blocked,Full,,,32586.0,4.0,https://www.adl.org/education/references/hate-symbols/sieg-heil
white genocide,Blocked,Full,,,22245.0,13.0,https://www.adl.org/resources/glossary-terms/white-genocide
white nationalist,Blocked,Full,,,59520.0,13.0,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist
white pill,Blocked,Full,,,9423.0,10.0,https://www.adl.org/blog/the-extremist-medicine-cabinet-a-guide-to-online-pills
white pride,Blocked,Full,,,19044.0,1.0,https://www.adl.org/resources/glossary-terms/white-pride
gas the kikes race war now,Blocked,Empty,,,0.0,0.0,https://psmag.com/ideas/neo-nazi-hate-speech-foiling-algorithms
aryan nation,Blocked,Partial Block,,,1.0,2.0,https://www.adl.org/education/resources/profiles/aryan-nations
gas the kikes,Blocked,Partial Block,,,1.0,0.0,https://www.thedailybeast.com/youtube-wont-ban-neo-nazi-group-chanting-gas-the-kkes-race-war-now
two seedline,Blocked,Partial Block,,,1.0,0.0,https://www.splcenter.org/fighting-hate/intelligence-report/2008/branson-televangelist-arnold-murray-preaches-christian-identity-theology
american nazi party,Blocked,Blocked,,,,,https://www.splcenter.org/fighting-hate/intelligence-report/2015/active-neo-nazi-groups
holocaust denial,Blocked,Blocked,,,,,https://www.splcenter.org/fighting-hate/extremist-files/ideology/holocaust-denial
white pride worldwide,Blocked,Blocked,,,,,https://www.splcenter.org/fighting-hate/extremist-files/group/stormfront
dindu,Blocked,,,,,,https://www.vice.com/en/article/ezagwm/get-to-know-the-memes-of-the-alt-right-and-never-miss-a-dog-whistle-again
goy,Blocked,,,,,,https://www.adl.org/education/references/hate-symbols/the-goyim-knowshut-it-down
holohoax,Blocked,,,,,,https://www.isdglobal.org/isd-publications/hosting-the-holohoax-a-snapshot-of-holocaust-denial-across-social-media/
kike,Blocked,,,,,,https://blog.oup.com/2009/10/ethnic-slurs-kike/
kkk,Blocked,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan
nazi,Blocked,,,,,,https://www.adl.org/resources/glossary-terms/neo-nazis
neo-confederate,Blocked,,,,,,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate
neo-nazi,Blocked,,,,,,https://www.adl.org/resources/glossary-terms/neo-nazis
nigger,Blocked,,,,,,https://www.washingtonpost.com/wp-srv/style/longterm/books/chap1/nigger.htm
stormfront,Blocked,,,,,,https://www.adl.org/education/references/hate-symbols/stormfront
wetback,Blocked,,,,,,https://www.buzzfeednews.com/article/andrewkaczynski/white-supremacists-are-thrilled-donald-trump-mentioned-opera
