search_term,youtube_video_id,youtube_video_title,youtube_video_views,youtube_video_channel,video_url
bipoc,JPc5wy-iROM,"Kimberly Drew, Andy Lalwani &amp; More on Allyship &amp; the BIPOC Experience in America | Sound On",1705,MTV Impact,www.youtube.com/watch/?v=JPc5wy-iROM
bipoc,tiTzNQRN73s,"BIPOC, POC, ADOS &amp; Protecting the Mission of a Movement",26250,Yvette Carnell,www.youtube.com/watch/?v=tiTzNQRN73s
bipoc,8fp7z49UGlQ,What Does &quot;BIPOC&quot; Mean?,443,Pacific Lutheran University,www.youtube.com/watch/?v=8fp7z49UGlQ
bipoc,hALWsAm2FjY,The BIPOC Community Garden- Connecting Food and People through Gardening,8757,Rob Greenfield,www.youtube.com/watch/?v=hALWsAm2FjY
bipoc,OxqRobUubCM,BIPOC Gen-Zers Are Voting For The First Time And Hoping To Decide The Fate Of Their Swing States‌,23846,NBC News,www.youtube.com/watch/?v=OxqRobUubCM
bipoc,zxXJSoO4orw,Difference between BIPOC and POC,461,Brighton West Video,www.youtube.com/watch/?v=zxXJSoO4orw
bipoc,zBOOwAdlZoo,BIPOC Excellence in Ultimate,11965,Max Charles,www.youtube.com/watch/?v=zBOOwAdlZoo
bipoc,sXl3l2e33dU,The Alternative Black Girl &amp; BIPOC 🖤💀🕸📜🖋,7257,Hearthfire Fox,www.youtube.com/watch/?v=sXl3l2e33dU
bipoc,dGfRakybsvc,BIPOC Exhaustion,7,Yale Youth Ministry Institute,www.youtube.com/watch/?v=dGfRakybsvc
bipoc,zRH2MQDWVo8,How to Pronounce BIPOC  |  BIPOC Pronunciation,9701,American Pronunciation Guide,www.youtube.com/watch/?v=zRH2MQDWVo8
bipoc,0TbUnlhcDAE,BIPOC Pinup Parlez - Fashion &amp; Tiki Glamour,355,tikioasistv,www.youtube.com/watch/?v=0TbUnlhcDAE
bipoc,4628e5u6dv0,BIPOC: The Next Black Revolution,223,JaeTheGent,www.youtube.com/watch/?v=4628e5u6dv0
bipoc,HH3i6bripeM,Lack of racial diversity in medical textbooks could put BIPOC patients at risk,4999,Global News,www.youtube.com/watch/?v=HH3i6bripeM
bipoc,QDhr3FHXcUk,Twin Cities Film Fest Series Focuses On BIPOC Storytellers,266,WCCO - CBS Minnesota,www.youtube.com/watch/?v=QDhr3FHXcUk
bipoc,cFAor-5WgNU,bipoc definition,94,How Convert,www.youtube.com/watch/?v=cFAor-5WgNU
bipoc,HODde_DdxVE,The &quot;I&quot; in BIPOC: Racial Justice and Indigenous Peoples,94,Brooklyn College,www.youtube.com/watch/?v=HODde_DdxVE
anti-fascist,h73BByhyqdk,1940s US anti-fascist film goes viral,6616,Newsy,www.youtube.com/watch/?v=h73BByhyqdk
anti-fascist,u4sooch-MOY,Far-right and anti-fascist groups clash at a rally in the American city of Portland,13404,euronews (in English),www.youtube.com/watch/?v=u4sooch-MOY
